product,cas
"Sarin: O-Isopropyl methylphosphonofluoridate",107-44-8
"Soman: O-Pinacolyl methylphosphonofluoridate",96-64-0
"Tabun: O-Ethyl N,N-dimethyl phosphoramidocyanidate",77-81-6
"VX: O-Ethyl S-2-diisopropylaminoethyl methyl phosphonothiolate",50782-69-9
"2-Chloroethylchloromethylsulfide",2625-76-5
"Mustard gas: Bis(2-chloroethyl)sulfide",505-60-2
"Bis(2-chloroethylthio)methane",63869-13-6
"Sesquimustard: 1,2-Bis(2-chloroethylthio)ethane",3563-36-8
"1,3-Bis(2-chloroethylthio)-n-propane",63905-10-2
"1,4-Bis(2-chloroethylthio)-n-butane",142868-93-7
"1,5-Bis(2-chloroethylthio)-n-pentane",142868-94-8
"Bis(2-chloroethylthiomethyl)ether",63918-90-1
"O-Mustard: Bis(2-chloroethylthioethyl)ether",63918-89-8
"Lewisite 1: 2-Chlorovinyldichloroarsine",541-25-3
"Lewisite 2: Bis(2-chlorovinyl)chloroarsine",40334-69-8
"Lewisite 3: Tris(2-chlorovinyl)arsine",40334-70-1
"HN1: Bis(2-chloroethyl)ethylamine",538-07-8
"HN2: Bis(2-chloroethyl)methylamine",51-75-2
"HN3: Tris(2-chloroethyl)amine",555-77-1
"Saxitoxin",35523-89-8
"Ricin",9009-86-3
"N-(1-(di-n-decylamino)-n-decylidene)-P-decylphosphonamidic fluoride",2387495-99-8
"Methyl-(1-(diethylamino)ethylidene)phosphonamidofluoridate",2387496-12-8
"O-n-Decyl N-(1-(di-n-decylamino)-n-decylidene)phosphoramidofluoridate",2387496-00-4
"Methyl (1-(diethylamino)ethylidene)phosphoramidofluoridate",2387496-04-8
"Ethyl (1-(diethylamino)ethylidene)phosphoramidofluoridate",2387496-06-0
"Methyl-(bis(diethylamino)methylene)phosphonamidofluoridate",2387496-14-0
"1-[N,N-dimethyl-N-(2-hydroxy)ethylammonio]-10-[N-(3-dimethylcarbamoxy-α-picolinyl)-N,N-dimethylammonio]decane dibromide",77104-62-2
"1,10-Bis[N-(3-dimethylcarbamoxy-α-picolyl)-N-ethyl-N-methylammonio]decane-2,9-dione dibromide",77104-00-8
"DF: Methylphosphonyldifluoride",676-99-3
"QL: O-Ethyl O-2-diisopropylaminoethyl methylphosphonite",57856-11-8
"Chlorosarin: O-Isopropyl methylphosphonochloridate",1445-76-7
"Chlorosoman: O-Pinacolyl methylphosphonochloridate",7040-57-5
"Amiton: O,O-Diethyl S-[2-(diethylamino)ethyl] phosphorothiolate",78-53-5
"PFIB: 1,1,3,3,3-Pentafluoro-2-(trifluoromethyl)-1-propene",382-21-8
"BZ: 3-Quinuclidinyl benzilate",6581-06-2
"Methylphosphonyl dichloride",676-97-1
"Dimethyl methylphosphonate",756-79-6
"Fonofos: O-Ethyl S-phenyl ethylphosphonothiolothionate",944-22-9
"Arsenic trichloride",7784-34-1
"2,2-Diphenyl-2-hydroxyacetic acid",76-93-7
"Quinuclidin-3-ol",1619-34-7
"N,N-Dimethylaminoethanol",108-01-0
"N,N-Diethylaminoethanol",100-37-8
"Thiodiglycol: Bis(2-hydroxyethyl)sulfide",111-48-8
"Pinacolyl alcohol: 3,3-Dimethylbutan-2-ol",464-07-3
"Phosgene: Carbonyl dichloride",75-44-5
"Cyanogen chloride",506-77-4
"Hydrogen cyanide",74-90-8
"Chloropicrin: Trichloronitromethane",76-06-2
"Phosphorus oxychloride",10025-87-3
"Phosphorus trichloride",7719-12-2
"Phosphorus pentachloride",10026-13-8
"Trimethyl phosphite",121-45-9
"Triethyl phosphite",122-52-1
"Dimethyl phosphite",868-85-9
"Diethyl phosphite",762-04-9
"Sulfur monochloride",10025-67-9
"Sulfur dichloride",10545-99-0
"Thionyl chloride",7719-09-7
"Ethyldiethanolamine",139-87-7
"Methyldiethanolamine",105-59-9
"Triethanolamine",102-71-6
