"Substance name","Description","EC No.","CAS No.","Reason for inclusion","Date of inclusion","IUCLID dataset","Remarks"
"n-hexane","","203-777-6","110-54-3","Specific target organ toxicity after repeated exposure (Article 57(f) - human health)","04-Feb-2026","","N-hexane is identified as a substance of very high concern in accordance with Article 57(f) of Regulation (EC) 1907/2006 (REACH) because it is a substance with neurotoxic properties for which there is scientific evidence of probable serious effects to human health which gives rise to an equivalent level of concern to those substances listed in points (a) to (e) of Article 57 of REACH."
"4,4'-[2,2,2-trifluoro-1-(trifluoromethyl)ethylidene]diphenol and its salts","","-","-","Toxic for reproduction (Article 57c)","04-Feb-2026","",""
"Benzyltriphenylphosphonium, salt with 4,4'-[2,2,2-trifluoro-1-(trifluoromethyl)ethylidene]bis[phenol] (1:1)","","278-305-5","75768-65-9","Toxic for reproduction (Article 57c)","04-Feb-2026","",""
"disodium 4,4'-[2,2,2-trifluoro-1-(trifluoromethyl)ethylidene]diphenolate","","425-060-9","-","Toxic for reproduction (Article 57c)","04-Feb-2026","",""
"N,N-dibutyl-N-methylbutan-1-aminium 4-[1,1,1,3,3,3-hexafluoro-2-(4-hydroxyphenyl)propan-2-yl]phenolate","","443-330-4","-","Toxic for reproduction (Article 57c)","04-Feb-2026","",""
"Phosphonium, tributyl(2-methoxypropyl)-, salt with 4,4'-[2,2,2-trifluoro-1-(trifluoromethyl)ethylidene]bis[phenol] (1:1)","","468-740-0","126049-00-1","Toxic for reproduction (Article 57c)","04-Feb-2026","",""
"4,4'-[2,2,2-trifluoro-1-(trifluoromethyl)ethylidene]diphenol (Bisphenol AF)","","216-036-7","1478-61-1","Toxic for reproduction (Article 57c)","04-Feb-2026","",""
"benzyl(diethylamino)diphenylphosphonium 4-[1,1,1,3,3,3-hexafluoro-2-(4-hydroxyphenyl)propan-2-yl]phenolate","","479-100-5","577705-90-9","Toxic for reproduction (Article 57c)","04-Feb-2026","",""
"Reaction mass of 4,4'-[2,2,2-trifluoro-1-(trifluoromethyl)ethylidene]diphenol and benzyltriphenylphosphonium, salt with 4,4'-[2,2,2-trifluoro-1-(trifluoromethyl)ethylidene]diphenol (1:1)","","-","-","Toxic for reproduction (Article 57c)","04-Feb-2026","",""
"Reaction mass of 4,4'-[2,2,2-trifluoro-1-(trifluoromethyl)ethylidene]diphenol and benzyl(diethylamino)diphenylphosphonium 4-[1,1,1,3,3,3-hexafluoro-2-(4-hydroxyphenyl)propan-2-yl]phenolate (1:1)","","-","-","Toxic for reproduction (Article 57c)","04-Feb-2026","",""
