product,CAS,materials
"1,10-dibromodecane",4101-68-2,"1,10-decanediol"
"1,2-Ethanedithiol",540-63-6,"1,2-Dibromoethane"
"1,3-propanedithiol",109-80-8,"1,3-dibromopropane"
"1,4-butanedithiol",1191-08-8,"1,4-dibromobutane"
"1,5-pentanediol",111-29-5,Glutaric acid
2-Chloroethanol,107-07-3,Ethylene oxide
"3,3-dimethyl-2-butanone",75-97-8,Pinacol
3-quinuclidinol,1619-34-7,quinuclidin-3-one
Acetylene,74-86-2,Calcium carbide
Arsenic trichloride,7784-34-1,"Arsenic, Arsenic trioxide"
"Arsenic, Arsenic trioxide",,Arsenopyrite
Benzil,134-81-6,Benzoin
Bis(2-chloroethyl) ether,111-44-4,Ethylene glycol
Bis(2-chloroethyl) sulfide,505-60-2,Thiodiglycol
Bis(2-hydroxyethylthioethyl)ether,7426-02-0,Thiodiglycol
Carbon tetrachloride,56-23-5,Methane
Chlorine,7782-50-5,Sodium chloride
Decylamine,2016-57-1,1-Decanol
Diethanolamine,111-42-2,Ethylene oxide
Diethyl phosphoramidofluoridate,,Diethyl phosphoramidate
Ethylene oxide,75-21-8,Ethylene
Hexafluoropropylene,116-15-4,Tetrafluoroethylene
Methyl phosphorodifluoridate,22382-13-4,Phosphoryl fluoride
Methylphosphonic acid,993-13-5,Dimethyl methylphosphonate
Methylphosphonic dichloride,676-97-1,Methylphosphonic acid
Methylphosphonic difluoride,676-99-3,Methylphosphonic dichloride
"N,N-dimethylphosphoramidic dichloride",677-43-0,Phosphorus oxychloride
N-Ethyldethanolamine,,2-(Ethylamino)ethanol
N-Methyldiethanolamine,105-59-9,Diethanolamine
Nitromethane,75-52-5,Sodium chloroacetate
"O,O-diethyl phosphorochloridothioate",2524-04-1,"O,O-diethyl phosphorodithioate"
O-Ethyl methylphosphonochloridate,,Methylphosphonic dichloride
"O-ethyl N,N-diethylphosphoramidochloridate",,Diethyl phosphoramidic dichloride
O-ethyl methylphosphonochloridate,,Methylphosphonic dichloride
O-ethyl phenylphosphonochloridothioate,5075-13-8,O-ethyl phenylphosphonothioic dichloride
Phosphorus trichloride,7719-12-2,White phosphorus
Pinacolyl methylphosphonic acid,616-52-4,Pinacolyl methylphosphonochloridate
Pinacolyl methylphosphonochloridate,7040-57-5,Pinacolyl methylphosphonothioate
Quinuclidin-3-one,3731-38-2,Ethyl quinuclidine-3-carboxylate
Ricin,,Ricinoleic acid
Saxitoxin,35523-89-8,Arginine
Sodium cyanide,143-33-9,Hydrogen cyanide
Sulfur,7704-34-9,Hydrogen sulfide
Sulfur dioxide,7446-09-5,Sulfur
Thiodiglycol,111-48-8,2-chloroethanol
Triethanolamine,102-71-6,Ethylene oxide
White phosphorus,12185-10-3,Phosphate rock
"decane-2,9-dione",16538-91-3,2-methylnon-1-en-3-yn-2-ol
decylamine,2016-57-1,1-bromodecane
