idx,product,materials
0,n-hexane,1-hexene
1,"4,4'-[2,2,2-trifluoro-1-(trifluoromethyl)ethylidene]diphenol and its salts",Bisphenol A
2,"Benzyltriphenylphosphonium, salt with 4,4'-[2,2,2-trifluoro-1-(trifluoromethyl)ethylidene]bis[phenol] (1:1)",Benzyltriphenylphosphonium chloride
3,"disodium 4,4'-[2,2,2-trifluoro-1-(trifluoromethyl)ethylidene]diphenolate","4,4'-(hexafluoroisopropylidene)diphenol"
4,"N,N-dibutyl-N-methylbutan-1-aminium 4-[1,1,1,3,3,3-hexafluoro-2-(4-hydroxyphenyl)propan-2-yl]phenolate","4,4'-(hexafluoroisopropylidene)diphenol"
5,"Phosphonium, tributyl(2-methoxypropyl)-, salt with 4,4'-[2,2,2-trifluoro-1-(trifluoromethyl)ethylidene]bis[phenol] (1:1)",Tributyl(2-methoxypropyl)phosphonium chloride
6,"4,4'-[2,2,2-trifluoro-1-(trifluoromethyl)ethylidene]diphenol (Bisphenol AF)","Hexafluoroacetone, Phenol"
7,"benzyl(diethylamino)diphenylphosphonium 4-[1,1,1,3,3,3-hexafluoro-2-(4-hydroxyphenyl)propan-2-yl]phenolate",benzyl(diethylamino)diphenylphosphonium chloride
8,"Reaction mass of 4,4'-[2,2,2-trifluoro-1-(trifluoromethyl)ethylidene]diphenol and benzyltriphenylphosphonium, salt with 4,4'-[2,2,2-trifluoro-1-(trifluoromethyl)ethylidene]diphenol (1:1)","4,4'-(hexafluoroisopropylidene)diphenol"
9,"Reaction mass of 4,4'-[2,2,2-trifluoro-1-(trifluoromethyl)ethylidene]diphenol and benzyl(diethylamino)diphenylphosphonium 4-[1,1,1,3,3,3-hexafluoro-2-(4-hydroxyphenyl)propan-2-yl]phenolate (1:1)","4,4'-(hexafluoroisopropylidene)diphenol"
10,"Reaction products of benzene, chlorine and sulfur chloride (S2Cl2) with 4,4'-[2,2,2-trifluoro-1-(trifluoromethyl)ethylidene]diphenol",Unknown
11,"1,1'-(ethane-1,2-diyl)bis[pentabromobenzene] (DBDPE)",decabromodiphenyl ether
12,"tetra(sodium/potassium) 7-[(E)-{2-acetamido-4-[(E)-(4-{[4-chloro-6-({2-[(4-fluoro-6-{[4-(vinylsulfonyl)phenyl]amino}-1,3,5-triazine-2-yl)amino]propyl}amino)-1,3,5-triazine-2-yl]amino}-5-sulfonato-1-naphthyl)diazenyl]-5-methoxyphenyl}diazenyl]-1,3,6-naphthalenetrisulfonate (Reactive Brown 51)",Unknown
13,decamethyltetrasiloxane,dichlorodimethylsilane
14,"1,1,1,3,5,5,5-heptamethyl-3-[(trimethylsilyl)oxy]trisiloxane",Hexamethyldisiloxane
15,reaction mass of: triphenylthiophosphate and tertiary butylated phenyl derivatives,Phenol
16,Perfluamine,Perfluorotributylamine
17,Octamethyltrisiloxane,Trimethylchlorosilane
18,"O,O,O-triphenyl phosphorothioate",Phenol
19,"6-[(C10-C13)-alkyl-(branched, unsaturated)-2,5-dioxopyrrolidin-1-yl]hexanoic acid",6-aminohexanoic acid
20,Triphenyl phosphate,Phenol
21,"Bis(α,α-dimethylbenzyl) peroxide",Cumene
