0,product,material,product cas
0.0,n-hexane,1-hexene,110-54-3
1.0,"4,4'-[2,2,2-trifluoro-1-(trifluoromethyl)ethylidene]diphenol and its salts",Bisphenol A,-
2.0,"Benzyltriphenylphosphonium, salt with 4,4'-[2,2,2-trifluoro-1-(trifluoromethyl)ethylidene]bis[phenol] (1:1)",Benzyltriphenylphosphonium chloride,75768-65-9
3.0,"disodium 4,4'-[2,2,2-trifluoro-1-(trifluoromethyl)ethylidene]diphenolate","4,4'-(hexafluoroisopropylidene)diphenol",-
4.0,"N,N-dibutyl-N-methylbutan-1-aminium 4-[1,1,1,3,3,3-hexafluoro-2-(4-hydroxyphenyl)propan-2-yl]phenolate","4,4'-(hexafluoroisopropylidene)diphenol",-
5.0,"Phosphonium, tributyl(2-methoxypropyl)-, salt with 4,4'-[2,2,2-trifluoro-1-(trifluoromethyl)ethylidene]bis[phenol] (1:1)",Tributyl(2-methoxypropyl)phosphonium chloride,126049-00-1
6.0,"4,4'-[2,2,2-trifluoro-1-(trifluoromethyl)ethylidene]diphenol (Bisphenol AF)","Hexafluoroacetone, Phenol",1478-61-1
7.0,"benzyl(diethylamino)diphenylphosphonium 4-[1,1,1,3,3,3-hexafluoro-2-(4-hydroxyphenyl)propan-2-yl]phenolate",benzyl(diethylamino)diphenylphosphonium chloride,577705-90-9
8.0,"Reaction mass of 4,4'-[2,2,2-trifluoro-1-(trifluoromethyl)ethylidene]diphenol and benzyltriphenylphosphonium, salt with 4,4'-[2,2,2-trifluoro-1-(trifluoromethyl)ethylidene]diphenol (1:1)","4,4'-(hexafluoroisopropylidene)diphenol",-
9.0,"Reaction mass of 4,4'-[2,2,2-trifluoro-1-(trifluoromethyl)ethylidene]diphenol and benzyl(diethylamino)diphenylphosphonium 4-[1,1,1,3,3,3-hexafluoro-2-(4-hydroxyphenyl)propan-2-yl]phenolate (1:1)","4,4'-(hexafluoroisopropylidene)diphenol",-
10.0,"Reaction products of benzene, chlorine and sulfur chloride (S2Cl2) with 4,4'-[2,2,2-trifluoro-1-(trifluoromethyl)ethylidene]diphenol",Unknown,921213-47-0
11.0,"1,1'-(ethane-1,2-diyl)bis[pentabromobenzene] (DBDPE)",decabromodiphenyl ether,84852-53-9
12.0,"tetra(sodium/potassium) 7-[(E)-{2-acetamido-4-[(E)-(4-{[4-chloro-6-({2-[(4-fluoro-6-{[4-(vinylsulfonyl)phenyl]amino}-1,3,5-triazine-2-yl)amino]propyl}amino)-1,3,5-triazine-2-yl]amino}-5-sulfonato-1-naphthyl)diazenyl]-5-methoxyphenyl}diazenyl]-1,3,6-naphthalenetrisulfonate (Reactive Brown 51)",Unknown,-
13.0,decamethyltetrasiloxane,dichlorodimethylsilane,141-62-8
14.0,"1,1,1,3,5,5,5-heptamethyl-3-[(trimethylsilyl)oxy]trisiloxane",Hexamethyldisiloxane,17928-28-8
15.0,reaction mass of: triphenylthiophosphate and tertiary butylated phenyl derivatives,Phenol,192268-65-8
16.0,Perfluamine,Perfluorotributylamine,338-83-0
17.0,Octamethyltrisiloxane,Trimethylchlorosilane,107-51-7
18.0,"O,O,O-triphenyl phosphorothioate",Phenol,597-82-0
19.0,"6-[(C10-C13)-alkyl-(branched, unsaturated)-2,5-dioxopyrrolidin-1-yl]hexanoic acid",6-aminohexanoic acid,2156592-54-8
20.0,Triphenyl phosphate,Phenol,115-86-6
21.0,"Bis(α,α-dimethylbenzyl) peroxide",Cumene,80-43-3
22.0,Oligomerisation and alkylation reaction products of 2-phenylpropene and phenol,phenol,-
23.0,"Phenol, methylstyrenated",Phenol,68512-30-1
24.0,Bumetrizole (UV-326),2-amino-4-tert-butylphenol,3896-11-5
25.0,2-(dimethylamino)-2-[(4-methylphenyl)methyl]-1-[4-(morpholin-4-yl)phenyl]butan-1-one,1-[4-(morpholin-4-yl)phenyl]butan-1-one,119344-86-4
26.0,"2-(2H-benzotriazol-2-yl)-4-(1,1,3,3-tetramethylbutyl)phenol (UV-329)","4-(1,1,3,3-tetramethylbutyl)phenol",3147-75-9
27.0,"2,4,6-tri-tert-butylphenol",phenol,732-26-3
28.0,"diphenyl(2,4,6-trimethylbenzoyl)phosphine oxide",diphenylphosphinous chloride,75980-60-8
29.0,bis(4-chlorophenyl) sulphone,4-chlorobenzenesulfonyl chloride,80-07-9
30.0,"reaction mass of 2,2,3,3,5,5,6,6-octafluoro-4-(1,1,1,2,3,3,3-heptafluoropropan-2-yl)morpholine and 2,2,3,3,5,5,6,6-octafluoro-4-(heptafluoropropyl)morpholine",morpholine,-
31.0,Perfluoroheptanoic acid and its salts,"1H,1H,2H,2H-perfluoro-1-nonanol",-
32.0,Perfluoroheptanoic acid,1H-tridecafluoroheptane,375-85-9
33.0,Sodium perfluoroheptanoate,Perfluoroheptanoic acid,20109-59-5
34.0,potassium perfluoroheptanoate,perfluoroheptanoic acid,21049-36-5
35.0,Ammonium perfluoroheptanoate,Perfluoroheptanoic acid,6130-43-4
36.0,Melamine,Dicyandiamide,108-78-1
37.0,Isobutyl 4-hydroxybenzoate,4-Hydroxybenzoic acid,4247-02-3
38.0,bis(2-ethylhexyl) tetrabromophthalate covering any of the individual isomers and/or combinations thereof,tetrabromophthalic anhydride,-
39.0,Bis(2-ethylhexyl) tetrabromophthalate,Tetrabromophthalic anhydride,26040-51-7
40.0,Barium diboron tetraoxide,Barium carbonate,13701-59-2
41.0,"4,4'-sulphonyldiphenol",phenol,80-09-1
42.0,"2,2',6,6'-tetrabromo-4,4'-isopropylidenediphenol","4,4'-isopropylidenediphenol",79-94-7
43.0,"1,1'-[ethane-1,2-diylbisoxy]bis[2,4,6-tribromobenzene]","2,4,6-tribromophenol",37853-59-1
44.0,N-(hydroxymethyl)acrylamide,Acrylamide,924-42-5
45.0,tris(2-methoxyethoxy)vinylsilane,trichlorovinylsilane,1067-53-4
46.0,"S-(tricyclo(5.2.1.0'2,6)deca-3-en-8(or 9)-yl O-(isopropyl or isobutyl or 2-ethylhexyl) O-(isopropyl or isobutyl or 2-ethylhexyl) phosphorodithioate",Dicyclopentadiene,255881-94-8
47.0,"6,6'-di-tert-butyl-2,2'-methylenedi-p-cresol",2-tert-butyl-p-cresol,119-47-1
48.0,"(±)-1,7,7-trimethyl-3-[(4-methylphenyl)methylene]bicyclo[2.2.1]heptan-2-one covering any of the individual isomers and/or combinations thereof (4-MBC)",Camphor,-
49.0,"(±)-1,7,7-trimethyl-3-[(4-methylphenyl)methylene]bicyclo[2.2.1]heptan-2-one",Camphor,36861-47-9
50.0,"(3E)-1,7,7-trimethyl-3-(4-methylbenzylidene)bicyclo[2.2.1]heptan-2-one",Camphor,1782069-81-1
51.0,"(1R,3E,4S)-1,7,7-trimethyl-3-(4-methylbenzylidene)bicyclo[2.2.1]heptan-2-one",Camphor,95342-41-9
52.0,"(1S,3E,4R)-1,7,7-trimethyl-3-(4-methylbenzylidene)bicyclo[2.2.1]heptan-2-one",Camphor,852541-30-1
53.0,"(1R,3Z,4S)-1,7,7-trimethyl-3-(4-methylbenzylidene)bicyclo[2.2.1]heptan-2-one",Camphor,852541-21-0
54.0,"(1R,4S)-1,7,7-trimethyl-3-(4-methylbenzylidene)bicyclo[2.2.1]heptan-2-one",Camphor,741687-98-9
55.0,"(1S,3Z,4R)-1,7,7-trimethyl-3-(4-methylbenzylidene)bicyclo[2.2.1]heptan-2-one",Camphor,852541-25-4
56.0,"Phenol, alkylation products (mainly in para position) with C12-rich branched alkyl chains from oligomerisation, covering any individual isomers and/ or combinations thereof (PDDP)",Phenol,-
57.0,"Phenol, dodecyl-, branched",Phenol,121158-58-5
58.0,"Phenol, (tetrapropenyl) derivatives",Phenol,74499-35-7
59.0,"Phenol, 4-dodecyl, branched","Dodecene, branched",210555-94-5
60.0,4-isododecylphenol,Phenol,27459-10-5
61.0,"Phenol, tetrapropylene-",Tetrapropylene,57427-55-1
62.0,"Phenol, 4-isododecyl-",Phenol,27147-75-7
63.0,"orthoboric acid, sodium salt",Boric acid,-
64.0,"boric acid (H3BO3), sodium salt, hydrate",disodium tetraborate decahydrate,25747-83-5
65.0,Trisodium orthoborate,Boric acid,14312-40-4
66.0,"Boric acid, sodium salt",Boron oxide,1333-73-9
67.0,"Boric acid (H3BO3), disodium salt",Disodium tetraborate,22454-04-2
68.0,"Orthoboric acid, sodium salt",Boric acid,13840-56-7
69.0,"boric acid (H3BO3), sodium salt (1:1)","boric acid, sodium hydroxide",14890-53-0
70.0,Medium-chain chlorinated paraffins (MCCP),Paraffins,-
71.0,"di-, tri- and tetrachlorotetradecane",tetradecane,-
72.0,"Alkanes, C14-17, chloro",C14-17-alkanes,85535-85-9
73.0,"Tetradecane, chloro derivs.",Tetradecane,198840-65-2
74.0,"Alkanes, C14-16, chloro",C14-16-alkanes,1372804-76-6
75.0,glutaral,"1,5-pentanediol",111-30-8
76.0,"4,4'-(1-methylpropylidene)bisphenol","phenol, 2-butanone",77-40-7
77.0,2-(4-tert-butylbenzyl)propionaldehyde and its individual stereoisomers,4-tert-butylbenzyl chloride,-
78.0,(2R)-3-(4-tert-butylphenyl)-2-methylpropanal,3-(4-tert-butylphenyl)-2-methylprop-2-enal,75166-31-3
79.0,2-(4-tert-butylbenzyl)propionaldehyde,1-tert-butyl-4-methylbenzene,80-54-6
80.0,(2S)-3-(4-tert-butylphenyl)-2-methylpropanal,(2S)-3-(4-tert-butylphenyl)-2-methylprop-2-enal,75166-30-2
81.0,"2,2-bis(bromomethyl)propane-1,3-diol (BMP); 2,2-dimethylpropan-1-ol, tribromo derivative/3-bromo-2,2-bis(bromomethyl)-1-propanol (TBNPA); 2,3-dibromo-1-propanol (2,3-DBPA)",Pentaerythritol,-
82.0,"3-bromo-2,2-bis(bromomethyl)-1-propanol (TBNPA)",Pentaerythritol,1522-92-5
83.0,"2,2-dimethylpropan-1-ol, tribromo derivative (TBNPA)","2,2-dimethylpropan-1-ol",36483-57-5
84.0,"2,3-dibromo-1-propanol (2,3-DBPA)",allyl alcohol,96-13-9
85.0,"2,2-bis(bromomethyl)propane-1,3-diol (BMP)",Pentaerythritol,3296-90-0
86.0,"1,4-dioxane",Diethylene glycol,123-91-1
87.0,"Dioctyltin dilaurate, stannane, dioctyl-, bis(coco acyloxy) derivs., and any other stannane, dioctyl-, bis(fatty acyloxy) derivs. wherein C12 is the predominant carbon number of the fatty acyloxy moiety",Dioctyltin oxide,-
