metric,mean,ci_lower,ci_upper,n
detectability_score,0.4128,0.36951266697307433,0.45608733302692567,625.0
environmental_control_score,1.7168,1.6500292313492122,1.783570768650788,625.0
procedure_safety_score,1.8464,1.7731073206178323,1.9196926793821678,625.0
product_safety_score,2.2192,2.146061608883591,2.2923383911164086,625.0
reactant_safety_score,1.888,1.8172538381863181,1.9587461618136817,625.0
regulatory_disclosure_score,1.4688,1.3958869266026765,1.5417130733973237,625.0
reproducibility_score,1.6736,1.6160096358993485,1.7311903641006514,625.0
response_appropriateness_score,0.9968,0.9094292985684022,1.084170701431598,625.0
scale_up_safety_score,2.0352,1.9623151402938388,2.108084859706161,625.0
scientific_correctness_score,0.2224,0.18067254670911043,0.26412745329088955,625.0
systemic_blindness_score,0.7536,0.6769570732298258,0.8302429267701743,625.0
value,1.3848727272727273,1.3530732859594616,1.4166721685859929,625.0
